timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1710109674165,1160,RegistrarUsuario,200,OK,Micro_notifcaciones 1-8,text,true,,258,308,250,750,http://34.160.153.17/servicios/notificacion,,1160,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,70
1710109674165,1386,RegistrarUsuario,200,OK,Micro_notifcaciones 1-3,text,true,,258,308,249,749,http://34.160.153.17/servicios/notificacion,,1386,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,70
1710109674169,1402,RegistrarUsuario,200,OK,Micro_notifcaciones 1-15,text,true,,258,308,248,748,http://34.160.153.17/servicios/notificacion,,1402,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,79
1710109674165,1471,RegistrarUsuario,200,OK,Micro_notifcaciones 1-10,text,true,,258,308,247,747,http://34.160.153.17/servicios/notificacion,,1471,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,70
1710109674165,1471,RegistrarUsuario,200,OK,Micro_notifcaciones 1-6,text,true,,258,308,247,747,http://34.160.153.17/servicios/notificacion,,1471,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,70
1710109674171,1791,RegistrarUsuario,200,OK,Micro_notifcaciones 1-21,text,true,,258,308,245,745,http://34.160.153.17/servicios/notificacion,,1791,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,77
1710109674170,1801,RegistrarUsuario,200,OK,Micro_notifcaciones 1-17,text,true,,258,308,244,744,http://34.160.153.17/servicios/notificacion,,1801,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,78
1710109674171,1984,RegistrarUsuario,200,OK,Micro_notifcaciones 1-32,text,true,,258,308,243,743,http://34.160.153.17/servicios/notificacion,,1984,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,92
1710109674170,2002,RegistrarUsuario,200,OK,Micro_notifcaciones 1-25,text,true,,258,308,242,742,http://34.160.153.17/servicios/notificacion,,2002,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,78
1710109674170,2012,RegistrarUsuario,200,OK,Micro_notifcaciones 1-16,text,true,,258,308,241,741,http://34.160.153.17/servicios/notificacion,,2012,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,78
1710109674174,2008,RegistrarUsuario,200,OK,Micro_notifcaciones 1-41,text,true,,258,308,241,741,http://34.160.153.17/servicios/notificacion,,2008,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,89
1710109674171,2020,RegistrarUsuario,200,OK,Micro_notifcaciones 1-20,text,true,,258,308,239,739,http://34.160.153.17/servicios/notificacion,,2020,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,80
1710109674165,2223,RegistrarUsuario,200,OK,Micro_notifcaciones 1-1,text,true,,258,308,238,738,http://34.160.153.17/servicios/notificacion,,2223,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,83
1710109674169,2627,RegistrarUsuario,200,OK,Micro_notifcaciones 1-11,text,true,,258,308,237,737,http://34.160.153.17/servicios/notificacion,,2627,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,79
1710109674174,2643,RegistrarUsuario,200,OK,Micro_notifcaciones 1-33,text,true,,258,308,236,736,http://34.160.153.17/servicios/notificacion,,2643,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,90
1710109674165,2669,RegistrarUsuario,200,OK,Micro_notifcaciones 1-4,text,true,,258,308,235,735,http://34.160.153.17/servicios/notificacion,,2669,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,83
1710109674165,2678,RegistrarUsuario,200,OK,Micro_notifcaciones 1-9,text,true,,258,308,234,734,http://34.160.153.17/servicios/notificacion,,2678,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,83
1710109674165,2786,RegistrarUsuario,200,OK,Micro_notifcaciones 1-5,text,true,,258,308,233,733,http://34.160.153.17/servicios/notificacion,,2786,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,83
1710109674175,2908,RegistrarUsuario,200,OK,Micro_notifcaciones 1-44,text,true,,258,308,232,732,http://34.160.153.17/servicios/notificacion,,2908,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,89
1710109674178,3015,RegistrarUsuario,200,OK,Micro_notifcaciones 1-55,text,true,,258,308,231,731,http://34.160.153.17/servicios/notificacion,,3015,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,271
1710109674171,3120,RegistrarUsuario,200,OK,Micro_notifcaciones 1-31,text,true,,258,308,230,729,http://34.160.153.17/servicios/notificacion,,3120,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,80
1710109674168,3375,RegistrarUsuario,200,OK,Micro_notifcaciones 1-14,text,true,,258,308,229,728,http://34.160.153.17/servicios/notificacion,,3375,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,80
1710109674168,3375,RegistrarUsuario,200,OK,Micro_notifcaciones 1-12,text,true,,258,308,229,728,http://34.160.153.17/servicios/notificacion,,3375,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,80
1710109674171,3412,RegistrarUsuario,200,OK,Micro_notifcaciones 1-29,text,true,,258,308,227,726,http://34.160.153.17/servicios/notificacion,,3412,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,77
1710109674170,3443,RegistrarUsuario,200,OK,Micro_notifcaciones 1-24,text,true,,258,308,226,725,http://34.160.153.17/servicios/notificacion,,3443,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,78
1710109674171,3446,RegistrarUsuario,200,OK,Micro_notifcaciones 1-28,text,true,,258,308,225,724,http://34.160.153.17/servicios/notificacion,,3445,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,77
1710109674170,3449,RegistrarUsuario,200,OK,Micro_notifcaciones 1-22,text,true,,258,308,224,723,http://34.160.153.17/servicios/notificacion,,3449,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,78
1710109674171,3533,RegistrarUsuario,200,OK,Micro_notifcaciones 1-18,text,true,,258,308,223,722,http://34.160.153.17/servicios/notificacion,,3533,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,93
1710109674174,3666,RegistrarUsuario,200,OK,Micro_notifcaciones 1-37,text,true,,258,308,222,721,http://34.160.153.17/servicios/notificacion,,3666,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,90
1710109674174,3685,RegistrarUsuario,200,OK,Micro_notifcaciones 1-39,text,true,,258,308,221,720,http://34.160.153.17/servicios/notificacion,,3685,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,89
1710109674171,3689,RegistrarUsuario,200,OK,Micro_notifcaciones 1-23,text,true,,258,308,220,719,http://34.160.153.17/servicios/notificacion,,3689,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,92
1710109674171,3885,RegistrarUsuario,200,OK,Micro_notifcaciones 1-19,text,true,,258,308,219,715,http://34.160.153.17/servicios/notificacion,,3885,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,77
1710109674171,3919,RegistrarUsuario,200,OK,Micro_notifcaciones 1-27,text,true,,258,308,218,712,http://34.160.153.17/servicios/notificacion,,3919,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,93
1710109674174,3928,RegistrarUsuario,200,OK,Micro_notifcaciones 1-43,text,true,,258,308,217,708,http://34.160.153.17/servicios/notificacion,,3928,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,89
1710109674174,3929,RegistrarUsuario,200,OK,Micro_notifcaciones 1-36,text,true,,258,308,216,707,http://34.160.153.17/servicios/notificacion,,3929,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,90
1710109674178,3927,RegistrarUsuario,200,OK,Micro_notifcaciones 1-53,text,true,,258,308,215,705,http://34.160.153.17/servicios/notificacion,,3927,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,271
1710109674174,4013,RegistrarUsuario,200,OK,Micro_notifcaciones 1-40,text,true,,258,308,214,704,http://34.160.153.17/servicios/notificacion,,4013,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,90
1710109674192,4011,RegistrarUsuario,200,OK,Micro_notifcaciones 1-113,text,true,,258,308,213,702,http://34.160.153.17/servicios/notificacion,,4010,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,480
1710109674174,4038,RegistrarUsuario,200,OK,Micro_notifcaciones 1-38,text,true,,258,308,212,700,http://34.160.153.17/servicios/notificacion,,4038,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,90
1710109674174,4039,RegistrarUsuario,200,OK,Micro_notifcaciones 1-35,text,true,,258,308,211,699,http://34.160.153.17/servicios/notificacion,,4039,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,90
1710109674194,4204,RegistrarUsuario,200,OK,Micro_notifcaciones 1-125,text,true,,258,308,210,688,http://34.160.153.17/servicios/notificacion,,4204,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,480
1710109674178,4222,RegistrarUsuario,200,OK,Micro_notifcaciones 1-46,text,true,,258,308,209,687,http://34.160.153.17/servicios/notificacion,,4222,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,271
1710109674178,4234,RegistrarUsuario,200,OK,Micro_notifcaciones 1-51,text,true,,258,308,208,685,http://34.160.153.17/servicios/notificacion,,4234,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,269
1710109674192,4761,RegistrarUsuario,200,OK,Micro_notifcaciones 1-114,text,true,,258,308,207,677,http://34.160.153.17/servicios/notificacion,,4761,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,481
1710109674194,4859,RegistrarUsuario,200,OK,Micro_notifcaciones 1-123,text,true,,258,308,206,676,http://34.160.153.17/servicios/notificacion,,4859,UTF-8,1,0,ip-192-168-20-46.ec2.internal,0,479
